"","alltrial","subid","age","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct","targetObj","age_num"
"1","1","180726_12_nov","3","novelty","Elephant","Frog","car","bear","car","left","train","false",12366,1,"car",3.04931506849315
"2","2","180726_12_nov","3","novelty","Pig","Frog","duck","ball","ball","right","train","false",8320,1,"ball",3.04931506849315
"3","3","180726_12_nov","3","novelty","Sheep","Frog","t7","t11","t7","right","1","true",9703,0,"t11",3.04931506849315
"4","4","180726_12_nov","3","novelty","Bunny","Tiger","t8","t15","t15","right","2","false",13390,1,"t15",3.04931506849315
"5","5","180726_12_nov","3","novelty","Dog","Tiger","t1","t16","t16","right","3","false",8354,1,"t16",3.04931506849315
"6","6","180726_12_nov","3","novelty","Mouse","Tiger","t4","t10","t10","left","4","true",8398,0,"t4",3.04931506849315
"7","7","180726_12_nov","3","novelty","Bear","Cat","t3","t17","t3","left","5","true",8304,1,"t3",3.04931506849315
"8","8","180726_12_nov","3","novelty","Monkey",NA,"t2","t12","t2","left","6","false",11869,1,"t2",3.04931506849315
"9","1","180726_9_nov","3","novelty","Elephant","Monkey","car","bear","car","left","train","false",11985,1,"car",3.91232876712329
"10","2","180726_9_nov","3","novelty","Pig","Monkey","duck","ball","ball","right","train","false",10074,1,"ball",3.91232876712329
"11","3","180726_9_nov","3","novelty","Bunny","Monkey","t1","t15","t15","right","1","false",14578,1,"t15",3.91232876712329
"12","4","180726_9_nov","3","novelty","Sheep","Monkey","t10","t3","t3","right","2","true",12982,1,"t3",3.91232876712329
"13","5","180726_9_nov","3","novelty","Dog","Cat","t2","t8","t8","right","3","false",13694,1,"t8",3.91232876712329
"14","6","180726_9_nov","3","novelty","Tiger","Cat","t7","t12","t7","left","4","true",13536,1,"t7",3.91232876712329
"15","7","180726_9_nov","3","novelty","Bear","Frog","t11","t5","t11","left","5","false",13400,1,"t11",3.91232876712329
"16","8","180726_9_nov","3","novelty","Mouse","Frog","t16","t4","t16","left","6","true",14277,1,"t16",3.91232876712329
"17","1","180727_11_nov","3","novelty","Elephant","Bear","car","bear","car","left","train","false",12106,1,"car",3.28493150684932
"18","2","180727_11_nov","3","novelty","Pig","Bear","duck","ball","ball","right","train","false",10385,1,"ball",3.28493150684932
"19","3","180727_11_nov","3","novelty","Tiger","Bear","t12","t11","t12","left","1","true",18128,1,"t12",3.28493150684932
"20","4","180727_11_nov","3","novelty","Cat","Elephant","t6","t5","t5","right","2","false",15853,1,"t5",3.28493150684932
"21","5","180727_11_nov","3","novelty","Sheep","Elephant","t9","t3","t3","left","3","true",17005,0,"t9",3.28493150684932
"22","6","180727_11_nov","3","novelty","Beaver","Frog","t15","t7","t7","right","4","false",14003,1,"t7",3.28493150684932
"23","7","180727_11_nov","3","novelty","Monkey","Frog","t8","t4","t4","right","5","true",8427,1,"t4",3.28493150684932
"24","8","180727_11_nov","3","novelty","Pig","Dog","t14","t2","t2","right","6","false",11556,1,"t2",3.28493150684932
"25","9","180727_11_nov","3","novelty","Bunny","Dog","t16","t1","t1","left","7","false",15552,0,"t16",3.28493150684932
"26","10","180727_11_nov","3","novelty","Mouse","Dog","t17","t10","t10","left","8","true",13964,0,"t17",3.28493150684932
"27","1","180727_2_nov","4","novelty","Elephant","Mouse","car","bear","car","left","train","false",12238,1,"car",4.70958904109589
"28","2","180727_2_nov","4","novelty","Pig","Mouse","duck","ball","ball","right","train","false",9565,1,"ball",4.70958904109589
"29","3","180727_2_nov","4","novelty","Bunny","Mouse","t12","t8","t8","right","1","false",14494,1,"t8",4.70958904109589
"30","4","180727_2_nov","4","novelty","Beaver","Mouse","t11","t16","t16","right","2","true",14850,1,"t16",4.70958904109589
"31","5","180727_2_nov","4","novelty","Monkey","Elephant","t10","t7","t10","left","3","true",8119,1,"t10",4.70958904109589
"32","6","180727_2_nov","4","novelty","Dog","Bear","t9","t6","t6","right","4","false",10098,1,"t6",4.70958904109589
"33","7","180727_2_nov","4","novelty","Sheep","Bear","t3","t17","t17","left","5","false",8536,0,"t3",4.70958904109589
"34","8","180727_2_nov","4","novelty","Cat","Bear","t2","t5","t2","left","6","true",18511,1,"t2",4.70958904109589
"35","9","180727_2_nov","4","novelty","Tiger","Frog","t4","t1","t4","left","7","false",13719,1,"t4",4.70958904109589
"36","10","180727_2_nov","4","novelty","Pig","Frog","t15","t14","t14","right","8","true",8763,1,"t14",4.70958904109589
"37","1","180727_4_nov","2","novelty","Elephant","Bunny","car","bear","car","left","train","false",16989,1,"car",2.35068493150685
"38","2","180727_4_nov","2","novelty","Pig","Bunny","duck","ball","ball","right","train","false",12653,1,"ball",2.35068493150685
"39","3","180727_4_nov","2","novelty","Sheep","Bunny","t12","t15","t12","left","1","false",18340,1,"t12",2.35068493150685
"40","4","180727_4_nov","2","novelty","Frog","Bunny","t1","t7","t1","left","2","true",20328,1,"t1",2.35068493150685
"41","5","180727_4_nov","2","novelty","Bear","Beaver","t11","t10","t11","right","3","false",15425,0,"t10",2.35068493150685
"42","6","180727_4_nov","2","novelty","Dog","Beaver","t8","t3","t3","right","4","true",15603,1,"t3",2.35068493150685
"43","7","180727_4_nov","2","novelty","Pig","Cat","t16","t9","t16","left","5","false",18139,1,"t16",2.35068493150685
"44","8","180727_4_nov","2","novelty","Elephant","Cat","t5","t2","t5","left","6","true",15904,1,"t5",2.35068493150685
"45","9","180727_4_nov","2","novelty","Mouse","Tiger","t14","t4","t14","right","7","true",17091,0,"t4",2.35068493150685
"46","10","180727_4_nov","2","novelty","Monkey",NA,"t17","t6","t6","right","8","false",15127,1,"t6",2.35068493150685
"47","1","180727_7_nov","3","novelty","Elephant","Mouse","car","bear","car","left","train","false",11409,1,"car",3.1013698630137
"48","2","180727_7_nov","3","novelty","Pig","Mouse","duck","ball","ball","right","train","false",9604,1,"ball",3.1013698630137
"49","3","180727_7_nov","3","novelty","Tiger","Mouse","t10","t9","t9","right","1","false",14243,1,"t9",3.1013698630137
"50","4","180727_7_nov","3","novelty","Beaver","Mouse","t12","t11","t11","left","2","true",16254,0,"t12",3.1013698630137
"51","5","180727_7_nov","3","novelty","Sheep","Frog","t15","t3","t15","left","3","false",15099,1,"t15",3.1013698630137
"52","6","180727_7_nov","3","novelty","Cat","Frog","t8","t1","t1","right","4","true",15941,1,"t1",3.1013698630137
"53","7","180727_7_nov","3","novelty","Monkey","Bunny","t7","t5","t5","right","5","false",12778,1,"t5",3.1013698630137
"54","8","180727_7_nov","3","novelty","Pig","Bunny","t16","t6","t16","left","6","true",15320,1,"t16",3.1013698630137
"55","9","180727_7_nov","3","novelty","Dog","Bear","t17","t2","t17","right","7","false",16403,0,"t2",3.1013698630137
"56","10","180727_7_nov","3","novelty","Elephant","Bear","t14","t4","t4","left","8","true",18873,0,"t14",3.1013698630137
"57","1","180729_1_nov","4","novelty","Elephant","Mouse","car","bear","car","left","train","false",12418,1,"car",4.07945205479452
"58","2","180729_1_nov","4","novelty","Pig","Mouse","duck","ball","ball","right","train","false",11333,1,"ball",4.07945205479452
"59","3","180729_1_nov","4","novelty","Beaver","Mouse","t9","t4","t4","right","1","true",16589,1,"t4",4.07945205479452
"60","4","180729_1_nov","4","novelty","Cat","Frog","t12","t16","t16","right","2","false",13830,1,"t16",4.07945205479452
"61","5","180729_1_nov","4","novelty","Tiger","Frog","t8","t15","t15","right","3","false",15219,1,"t15",4.07945205479452
"62","6","180729_1_nov","4","novelty","Bunny","Frog","t7","t10","t7","left","4","true",13561,1,"t7",4.07945205479452
"63","7","180729_1_nov","4","novelty","Monkey","Elephant","t17","t3","t17","right","5","false",8277,0,"t3",4.07945205479452
"64","8","180729_1_nov","4","novelty","Bear","Elephant","t5","t11","t11","left","6","true",18627,0,"t5",4.07945205479452
