subid,subage,trial,correct,test_date,experimenter,keep_drop,sex,dob,English,parent1_ed,parent2_ed,language_status,age_num,check_age
190116_2_inf2,3,1,0,2019-01-16,MM,keep,M,2015-05-28,100,Four Year College,Four Year College,mono_ling,3.6410958904109587,TRUE
190116_2_inf2,3,2,1,2019-01-16,MM,keep,M,2015-05-28,100,Four Year College,Four Year College,mono_ling,3.6410958904109587,TRUE
190116_2_inf2,3,3,0,2019-01-16,MM,keep,M,2015-05-28,100,Four Year College,Four Year College,mono_ling,3.6410958904109587,TRUE
190116_2_inf2,3,4,0,2019-01-16,MM,keep,M,2015-05-28,100,Four Year College,Four Year College,mono_ling,3.6410958904109587,TRUE
190116_2_inf2,3,5,0,2019-01-16,MM,keep,M,2015-05-28,100,Four Year College,Four Year College,mono_ling,3.6410958904109587,TRUE
190116_2_inf2,3,6,1,2019-01-16,MM,keep,M,2015-05-28,100,Four Year College,Four Year College,mono_ling,3.6410958904109587,TRUE
190116_3_inf2,3,1,1,2019-01-16,MM,keep,M,2015-08-13,100,Four Year College,Four Year College,mono_ling,3.43013698630137,TRUE
190116_3_inf2,3,2,1,2019-01-16,MM,keep,M,2015-08-13,100,Four Year College,Four Year College,mono_ling,3.43013698630137,TRUE
190116_3_inf2,3,3,0,2019-01-16,MM,keep,M,2015-08-13,100,Four Year College,Four Year College,mono_ling,3.43013698630137,TRUE
190116_3_inf2,3,4,1,2019-01-16,MM,keep,M,2015-08-13,100,Four Year College,Four Year College,mono_ling,3.43013698630137,TRUE
190116_3_inf2,3,5,0,2019-01-16,MM,keep,M,2015-08-13,100,Four Year College,Four Year College,mono_ling,3.43013698630137,TRUE
190116_3_inf2,3,6,1,2019-01-16,MM,keep,M,2015-08-13,100,Four Year College,Four Year College,mono_ling,3.43013698630137,TRUE
190116_4_inf2,3,1,0,2019-01-16,MM,keep,F,2015-02-19,90-95,Graduate Degree,Graduate Degree,mono_ling,3.9095890410958902,TRUE
190116_4_inf2,3,2,1,2019-01-16,MM,keep,F,2015-02-19,90-95,Graduate Degree,Graduate Degree,mono_ling,3.9095890410958902,TRUE
190116_4_inf2,3,3,1,2019-01-16,MM,keep,F,2015-02-19,90-95,Graduate Degree,Graduate Degree,mono_ling,3.9095890410958902,TRUE
190116_4_inf2,3,4,1,2019-01-16,MM,keep,F,2015-02-19,90-95,Graduate Degree,Graduate Degree,mono_ling,3.9095890410958902,TRUE
190116_4_inf2,3,5,1,2019-01-16,MM,keep,F,2015-02-19,90-95,Graduate Degree,Graduate Degree,mono_ling,3.9095890410958902,TRUE
190116_4_inf2,3,6,0,2019-01-16,MM,keep,F,2015-02-19,90-95,Graduate Degree,Graduate Degree,mono_ling,3.9095890410958902,TRUE
190116_5_inf2,3,1,1,2019-01-16,MM,keep,F,2015-03-15,100,Graduate Degree,Graduate Degree,mono_ling,3.8438356164383563,TRUE
190116_5_inf2,3,2,0,2019-01-16,MM,keep,F,2015-03-15,100,Graduate Degree,Graduate Degree,mono_ling,3.8438356164383563,TRUE
190116_5_inf2,3,3,1,2019-01-16,MM,keep,F,2015-03-15,100,Graduate Degree,Graduate Degree,mono_ling,3.8438356164383563,TRUE
190116_5_inf2,3,4,0,2019-01-16,MM,keep,F,2015-03-15,100,Graduate Degree,Graduate Degree,mono_ling,3.8438356164383563,TRUE
190116_5_inf2,3,5,1,2019-01-16,MM,keep,F,2015-03-15,100,Graduate Degree,Graduate Degree,mono_ling,3.8438356164383563,TRUE
190116_5_inf2,3,6,0,2019-01-16,MM,keep,F,2015-03-15,100,Graduate Degree,Graduate Degree,mono_ling,3.8438356164383563,TRUE
190116_6_inf2,3,1,0,2019-01-16,MM,keep,F,2015-11-24,90-95,Some college,Graduate Degree,mono_ling,3.147945205479452,TRUE
190116_6_inf2,3,2,1,2019-01-16,MM,keep,F,2015-11-24,90-95,Some college,Graduate Degree,mono_ling,3.147945205479452,TRUE
190116_6_inf2,3,3,1,2019-01-16,MM,keep,F,2015-11-24,90-95,Some college,Graduate Degree,mono_ling,3.147945205479452,TRUE
190116_6_inf2,3,4,0,2019-01-16,MM,keep,F,2015-11-24,90-95,Some college,Graduate Degree,mono_ling,3.147945205479452,TRUE
190116_6_inf2,3,5,0,2019-01-16,MM,keep,F,2015-11-24,90-95,Some college,Graduate Degree,mono_ling,3.147945205479452,TRUE
190116_6_inf2,3,6,0,2019-01-16,MM,keep,F,2015-11-24,90-95,Some college,Graduate Degree,mono_ling,3.147945205479452,TRUE
190116_7_inf2,4,1,1,2019-01-16,MM,keep,F,2014-10-17,90-95,Graduate Degree,Graduate Degree,mono_ling,4.252054794520548,TRUE
190116_7_inf2,4,2,1,2019-01-16,MM,keep,F,2014-10-17,90-95,Graduate Degree,Graduate Degree,mono_ling,4.252054794520548,TRUE
190116_7_inf2,4,3,1,2019-01-16,MM,keep,F,2014-10-17,90-95,Graduate Degree,Graduate Degree,mono_ling,4.252054794520548,TRUE
190116_7_inf2,4,4,1,2019-01-16,MM,keep,F,2014-10-17,90-95,Graduate Degree,Graduate Degree,mono_ling,4.252054794520548,TRUE
190116_7_inf2,4,5,1,2019-01-16,MM,keep,F,2014-10-17,90-95,Graduate Degree,Graduate Degree,mono_ling,4.252054794520548,TRUE
190116_7_inf2,4,6,1,2019-01-16,MM,keep,F,2014-10-17,90-95,Graduate Degree,Graduate Degree,mono_ling,4.252054794520548,TRUE
190116_8_inf2,3,1,0,2019-01-16,MM,keep,F,2015-02-24,90-95,Some college,Four Year College,mono_ling,3.8958904109589043,TRUE
190116_8_inf2,3,2,1,2019-01-16,MM,keep,F,2015-02-24,90-95,Some college,Four Year College,mono_ling,3.8958904109589043,TRUE
190116_8_inf2,3,3,0,2019-01-16,MM,keep,F,2015-02-24,90-95,Some college,Four Year College,mono_ling,3.8958904109589043,TRUE
190116_8_inf2,3,4,1,2019-01-16,MM,keep,F,2015-02-24,90-95,Some college,Four Year College,mono_ling,3.8958904109589043,TRUE
190116_8_inf2,3,5,1,2019-01-16,MM,keep,F,2015-02-24,90-95,Some college,Four Year College,mono_ling,3.8958904109589043,TRUE
190116_8_inf2,3,6,0,2019-01-16,MM,keep,F,2015-02-24,90-95,Some college,Four Year College,mono_ling,3.8958904109589043,TRUE
190116_9_inf2,4,1,0,2019-01-16,MM,keep,F,2015-01-10,100,Some college,Four Year College,mono_ling,4.019178082191781,TRUE
190116_9_inf2,4,2,0,2019-01-16,MM,keep,F,2015-01-10,100,Some college,Four Year College,mono_ling,4.019178082191781,TRUE
190116_9_inf2,4,3,0,2019-01-16,MM,keep,F,2015-01-10,100,Some college,Four Year College,mono_ling,4.019178082191781,TRUE
190116_9_inf2,4,4,1,2019-01-16,MM,keep,F,2015-01-10,100,Some college,Four Year College,mono_ling,4.019178082191781,TRUE
190116_9_inf2,4,5,0,2019-01-16,MM,keep,F,2015-01-10,100,Some college,Four Year College,mono_ling,4.019178082191781,TRUE
190116_9_inf2,4,6,1,2019-01-16,MM,keep,F,2015-01-10,100,Some college,Four Year College,mono_ling,4.019178082191781,TRUE
190118_1_inf2,3,1,1,2019-01-18,MM,keep,M,2015-06-15,100,Graduate Degree,Graduate Degree,mono_ling,3.5972602739726027,TRUE
190118_1_inf2,3,2,0,2019-01-18,MM,keep,M,2015-06-15,100,Graduate Degree,Graduate Degree,mono_ling,3.5972602739726027,TRUE
190118_1_inf2,3,3,0,2019-01-18,MM,keep,M,2015-06-15,100,Graduate Degree,Graduate Degree,mono_ling,3.5972602739726027,TRUE
190118_1_inf2,3,4,1,2019-01-18,MM,keep,M,2015-06-15,100,Graduate Degree,Graduate Degree,mono_ling,3.5972602739726027,TRUE
190118_1_inf2,3,5,1,2019-01-18,MM,keep,M,2015-06-15,100,Graduate Degree,Graduate Degree,mono_ling,3.5972602739726027,TRUE
190118_1_inf2,3,6,0,2019-01-18,MM,keep,M,2015-06-15,100,Graduate Degree,Graduate Degree,mono_ling,3.5972602739726027,TRUE
190118_2_inf2,4,1,0,2019-01-18,MM,keep,M,2014-12-21,90-95,Graduate Degree,Graduate Degree,mono_ling,4.079452054794521,TRUE
190118_2_inf2,4,2,1,2019-01-18,MM,keep,M,2014-12-21,90-95,Graduate Degree,Graduate Degree,mono_ling,4.079452054794521,TRUE
190118_2_inf2,4,3,0,2019-01-18,MM,keep,M,2014-12-21,90-95,Graduate Degree,Graduate Degree,mono_ling,4.079452054794521,TRUE
190118_2_inf2,4,4,1,2019-01-18,MM,keep,M,2014-12-21,90-95,Graduate Degree,Graduate Degree,mono_ling,4.079452054794521,TRUE
190118_2_inf2,4,5,1,2019-01-18,MM,keep,M,2014-12-21,90-95,Graduate Degree,Graduate Degree,mono_ling,4.079452054794521,TRUE
190118_2_inf2,4,6,1,2019-01-18,MM,keep,M,2014-12-21,90-95,Graduate Degree,Graduate Degree,mono_ling,4.079452054794521,TRUE
190118_3_inf2,4,1,1,2019-01-18,MM,keep,F,2014-12-15,75,Graduate Degree,Graduate Degree,bi_ling,4.095890410958904,TRUE
190118_3_inf2,4,2,0,2019-01-18,MM,keep,F,2014-12-15,75,Graduate Degree,Graduate Degree,bi_ling,4.095890410958904,TRUE
190118_3_inf2,4,3,0,2019-01-18,MM,keep,F,2014-12-15,75,Graduate Degree,Graduate Degree,bi_ling,4.095890410958904,TRUE
190118_3_inf2,4,4,1,2019-01-18,MM,keep,F,2014-12-15,75,Graduate Degree,Graduate Degree,bi_ling,4.095890410958904,TRUE
190118_3_inf2,4,5,1,2019-01-18,MM,keep,F,2014-12-15,75,Graduate Degree,Graduate Degree,bi_ling,4.095890410958904,TRUE
190118_3_inf2,4,6,0,2019-01-18,MM,keep,F,2014-12-15,75,Graduate Degree,Graduate Degree,bi_ling,4.095890410958904,TRUE
